list,order,item,audio,condition,prime,prime_1,noun_repetition,prime_description,target_description,display_1,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,prime_pattern,filler_prime_category,filler_target_category,target_object,repeated_prime,non_repeated_prime,distractor1_sameNoun_sameColor_differentPatternFromTarget,distractor2_sameNoun_differentColor_samePatternAsTarget,distractor3_differentNoun_sameColor_patternAsTarget,distractor4_differentNoun_sameColor_differentPatternFromTarget,distractor5_differentNoun_differentColor_samePatternAsTarget,targetPosition,repeatedPrime,nonRepeatedPrime,distractor1,distractor2,distractor3,distractor4,distractor5,expTrials,box_position,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8
1,1,f29,f29.mp3,9,9,9,repeated,The horse facing right,small horse,9,,horse,,,horse,,,directionoun category,size,horseSmallLeft,,,,,,,,,,,,,,,,N,6,4,6,saw_green_striped.png,horseLargeLeft.png,saw_green_spotted.png,horseLargeRight.png,saw_green_spotted.png,horseSmallLeft.png,saw_green_striped.png,saw_green_spotted.png
2,1,f29,f29.mp3,9,9,9,repeated,The horse facing right,small horse,9,,horse,,,horse,,,directionoun category,size,horseSmallLeft,,,,,,,,,,,,,,,,N,6,4,6,saw_green_striped.png,horseLargeLeft.png,saw_green_spotted.png,horseLargeRight.png,saw_green_spotted.png,horseSmallLeft.png,saw_green_striped.png,saw_green_spotted.png
3,1,f29,f29.mp3,9,9,9,repeated,The horse facing right,small horse,9,,horse,,,horse,,,directionoun category,size,horseSmallLeft,,,,,,,,,,,,,,,,N,6,4,6,saw_green_striped.png,horseLargeLeft.png,saw_green_spotted.png,horseLargeRight.png,saw_green_spotted.png,horseSmallLeft.png,saw_green_striped.png,saw_green_spotted.png
4,1,f29,f29.mp3,9,9,9,repeated,The horse facing right,small horse,9,,horse,,,horse,,,directionoun category,size,horseSmallLeft,,,,,,,,,,,,,,,,N,6,4,6,saw_green_striped.png,horseLargeLeft.png,saw_green_spotted.png,horseLargeRight.png,saw_green_spotted.png,horseSmallLeft.png,saw_green_striped.png,saw_green_spotted.png
1,2,f16,f16.mp3,9,9,9,repeated,The small chisel,chisel upside down,9,,chisel,,,chisel,,,size,direction,chiselBlueSmallUpsideDown,,,,,,,,,,,,,,,,N,1,7,1,chiselBlueLargeUpsideDown.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueSmall.png,caterpillarGreenLarge.png
2,2,f16,f16.mp3,9,9,9,repeated,The small chisel,chisel upside down,9,,chisel,,,chisel,,,size,direction,chiselBlueSmallUpsideDown,,,,,,,,,,,,,,,,N,1,7,1,chiselBlueLargeUpsideDown.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueSmall.png,caterpillarGreenLarge.png
3,2,f16,f16.mp3,9,9,9,repeated,The small chisel,chisel upside down,9,,chisel,,,chisel,,,size,direction,chiselBlueSmallUpsideDown,,,,,,,,,,,,,,,,N,1,7,1,chiselBlueLargeUpsideDown.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueSmall.png,caterpillarGreenLarge.png
4,2,f16,f16.mp3,9,9,9,repeated,The small chisel,chisel upside down,9,,chisel,,,chisel,,,size,direction,chiselBlueSmallUpsideDown,,,,,,,,,,,,,,,,N,1,7,1,chiselBlueLargeUpsideDown.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueSmall.png,caterpillarGreenLarge.png
1,3,1,01_PC_non.mp3,2,PC,0,non-repeated,The chequered red circle,green striped train,0,train_green_striped,train,green,striped,circle,red,chequered,,,train_green_striped,train_red_chequered,circle_red_chequered,train_green_chequered,train_red_striped,circle_green_striped,circle_green_chequered,circle_red_striped,1,2,4,3,5,6,8,7,Y,1,4,1,train_green_striped.png,train_red_chequered.png,train_green_chequered.png,circle_red_chequered.png,train_red_striped.png,circle_green_striped.png,circle_red_striped.png,circle_green_chequered.png
2,3,1,01_PC_rep.mp3,4,PC,0,repeated,The chequered red train,green striped train,1,train_green_striped,train,green,striped,train,red,chequered,,,train_green_striped,train_red_chequered,circle_red_chequered,train_green_chequered,train_red_striped,circle_green_striped,circle_green_chequered,circle_red_striped,1,2,4,3,5,6,8,7,Y,1,2,1,train_green_striped.png,train_red_chequered.png,train_green_chequered.png,circle_red_chequered.png,train_red_striped.png,circle_green_striped.png,circle_red_striped.png,circle_green_chequered.png
3,3,1,01_CP_non.mp3,1,CP,1,non-repeated,The red chequered circle,green striped train,0,train_green_striped,train,green,striped,circle,red,chequered,,,train_green_striped,train_red_chequered,circle_red_chequered,train_green_chequered,train_red_striped,circle_green_striped,circle_green_chequered,circle_red_striped,1,2,4,3,5,6,8,7,Y,1,4,1,train_green_striped.png,train_red_chequered.png,train_green_chequered.png,circle_red_chequered.png,train_red_striped.png,circle_green_striped.png,circle_red_striped.png,circle_green_chequered.png
4,3,1,01_CP_rep.mp3,3,CP,1,repeated,The red chequered train,green striped train,1,train_green_striped,train,green,striped,train,red,chequered,,,train_green_striped,train_red_chequered,circle_red_chequered,train_green_chequered,train_red_striped,circle_green_striped,circle_green_chequered,circle_red_striped,1,2,4,3,5,6,8,7,Y,1,2,1,train_green_striped.png,train_red_chequered.png,train_green_chequered.png,circle_red_chequered.png,train_red_striped.png,circle_green_striped.png,circle_red_striped.png,circle_green_chequered.png
