list,order,item,audio,condition,prime,prime_1,noun_repetition,prime_description,target_description,display_1,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,prime_pattern,filler_prime_category,filler_target_category,target_object,distractor5_sameNoun_differentColor_differentPatternFromTarget,non_repeated_prime,distractor1_sameNoun_sameColor_differentPatternFromTarget,distractor2_sameNoun_differentColor_samePatternAsTarget,distractor3_differentNoun_sameColor_patternAsTarget,distractor4_differentNoun_sameColor_differentPatternFromTarget,repeated_prime,targetPosition,distractor5,nonRepeatedPrime,distractor1,distractor2,distractor3,distractor4,repeatedPrime,expTrials,box_position,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8
1,44,f20,f20.mp3,9,9,9,repeated,The fly facing right,small fly,9,,fly,,,fly,,,directionoun category,size,flySmall,,,,,,,,,,,,,,,,N,5,6,5,donkeyLargeRight.png,flyLarge.png,donkeyLargeLeft.png,donkeyLargeRight.png,flySmall.png,flyRight.png,donkeyLargeLeft.png,donkeyLargeRight.png
2,44,f20,f20.mp3,9,9,9,repeated,The fly facing right,small fly,9,,fly,,,fly,,,directionoun category,size,flySmall,,,,,,,,,,,,,,,,N,5,6,5,donkeyLargeRight.png,flyLarge.png,donkeyLargeLeft.png,donkeyLargeRight.png,flySmall.png,flyRight.png,donkeyLargeLeft.png,donkeyLargeRight.png
3,44,f20,f20.mp3,9,9,9,repeated,The fly facing right,small fly,9,,fly,,,fly,,,directionoun category,size,flySmall,,,,,,,,,,,,,,,,N,5,6,5,donkeyLargeRight.png,flyLarge.png,donkeyLargeLeft.png,donkeyLargeRight.png,flySmall.png,flyRight.png,donkeyLargeLeft.png,donkeyLargeRight.png
4,44,f20,f20.mp3,9,9,9,repeated,The fly facing right,small fly,9,,fly,,,fly,,,directionoun category,size,flySmall,,,,,,,,,,,,,,,,N,5,6,5,donkeyLargeRight.png,flyLarge.png,donkeyLargeLeft.png,donkeyLargeRight.png,flySmall.png,flyRight.png,donkeyLargeLeft.png,donkeyLargeRight.png
1,45,19,19_PC_non.mp3,2,PC,0,non-repeated,The striped blue belt,green spotted boot,0,boot_green_spotted,boot,green,spotted,belt,blue,striped,,,boot_green_spotted,boot_blue_striped,belt_blue_striped,boot_green_striped,boot_blue_spotted,belt_green_spotted,belt_green_striped,belt_blue_spotted,5,2,7,8,3,4,6,1,Y,5,7,5,belt_blue_spotted.png,boot_blue_striped.png,boot_blue_spotted.png,belt_green_spotted.png,boot_green_spotted.png,belt_green_striped.png,belt_blue_striped.png,boot_green_striped.png
2,45,19,19_PC_rep.mp3,4,PC,0,repeated,The spotted blue belt,green spotted boot,1,boot_green_spotted,boot,green,spotted,belt,blue,striped,,,boot_green_spotted,boot_blue_striped,belt_blue_striped,boot_green_striped,boot_blue_spotted,belt_green_spotted,belt_green_striped,belt_blue_spotted,5,2,7,8,3,4,6,1,Y,5,1,5,belt_blue_spotted.png,boot_blue_striped.png,boot_blue_spotted.png,belt_green_spotted.png,boot_green_spotted.png,belt_green_striped.png,belt_blue_striped.png,boot_green_striped.png
3,45,19,19_CP_non.mp3,1,CP,1,non-repeated,The blue striped belt,green spotted boot,0,boot_green_spotted,boot,green,spotted,belt,blue,striped,,,boot_green_spotted,boot_blue_striped,belt_blue_striped,boot_green_striped,boot_blue_spotted,belt_green_spotted,belt_green_striped,belt_blue_spotted,5,2,7,8,3,4,6,1,Y,5,7,5,belt_blue_spotted.png,boot_blue_striped.png,boot_blue_spotted.png,belt_green_spotted.png,boot_green_spotted.png,belt_green_striped.png,belt_blue_striped.png,boot_green_striped.png
4,45,19,19_CP_rep.mp3,3,CP,1,repeated,The blue spotted belt,green spotted boot,1,boot_green_spotted,boot,green,spotted,belt,blue,striped,,,boot_green_spotted,boot_blue_striped,belt_blue_striped,boot_green_striped,boot_blue_spotted,belt_green_spotted,belt_green_striped,belt_blue_spotted,5,2,7,8,3,4,6,1,Y,5,1,5,belt_blue_spotted.png,boot_blue_striped.png,boot_blue_spotted.png,belt_green_spotted.png,boot_green_spotted.png,belt_green_striped.png,belt_blue_striped.png,boot_green_striped.png
1,46,f15,f15.mp3,9,9,9,non-repeated,The small caterpillar,candle,9,,candle,,,caterpillar,,,noun category,noun category,candleGreenLarge,,,,,,,,,,,,,,,,N,8,4,8,chiselBlueLarge.png,chiselRedLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,chiselRedLarge.png,chiselBlueLarge.png,candleGreenLarge.png
2,46,f15,f15.mp3,9,9,9,non-repeated,The small caterpillar,candle,9,,candle,,,caterpillar,,,noun category,noun category,candleGreenLarge,,,,,,,,,,,,,,,,N,8,4,8,chiselBlueLarge.png,chiselRedLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,chiselRedLarge.png,chiselBlueLarge.png,candleGreenLarge.png
